ITEM,UINT,RATE/U,P/PRICE,THRESH/IN,INVENTORY,INV/VAL,PURCHASE,PUR/VAL,SALES,SALE/VAL,LATEST,ACTUAL INVENTORY
DRP CANCEROMIN/R1,30,5,150,0,149685,748425,150000,750000,315,1575,,4989
DRP RESPOX/R2,30,5,150,0,60329,301645,60420,302100,91,455,,2010
DRP RESTUBERAX/R3,30,5,150,0,60450,302250,60450,302250,0,,,2015
DRP COUGHRES/R4,30,5,150,0,60227,301135,60540,302700,313,1565,,2007
DRP DIGESTO-GEN/R5,30,5,150,0,65850,329250,66570,332850,720,3600,,2195
DRP DIARR-AN/R6,30,5,150,0,60325,301625,60390,301950,65,325,,2010
DRP GASTONALGIA/R7,30,5,150,0,60306,301530,60570,302850,264,1320,,2010
DRP GASTONE/R8,30,5,150,0,60166,300830,60600,303000,434,2170,,2005
DRP BRAIN/R9,30,5,150,0,60588,302940,60600,303000,12,60,,2019
DRP REMENDO/R10,30,5,150,0,60462,302310,60540,302700,78,390,,2015
DRP PSYZOVERTIGO/R11,30,5,150,0,60316,301580,60330,301650,14,70,,2010
DRP BRAIN TONE/R12,30,5,150,0,60177,300885,60450,302250,273,1365,,2005
DRP HYPOT/R13,30,5,150,0,60075,300375,60420,302100,345,1725,,2002
DRP HYPER-T/R14,30,5,150,0,119472,597360,120390,601950,918,4590,,3982
DRP HEART TONE/R15,30,5,150,0,119876,599380,120450,602250,574,2870,,3995
